Wall time,Step,MIRNN,CPRNN,RNN
1682568819,1,0.000103785,0.000122879,9.10E-05
1682568854,2,0.000208522,0.000146906,0.00011626
1682568889,3,0.000244222,0.000182279,0.00015431
1682568924,4,0.000257216,0.000202516,0.0001831
1682568959,5,0.000263546,0.000211486,0.00020237
1682568994,6,0.000267733,0.0002198,0.00021594
1682569029,7,0.000270793,0.00022518,0.00022619
1682569064,8,0.000273137,0.000228186,0.00023408
1682569099,9,0.000274923,0.000229857,0.00024021
1682569134,10,0.000276288,0.000230406,0.00024497
1682569169,11,0.000277399,0.000230348,0.00024869
1682569203,12,0.000278379,0.000230086,0.00025166
1682569238,13,0.000279286,0.000229949,0.00025407
1682569271,14,0.000280132,0.000230041,0.00025606
1682569306,15,0.000280911,0.000230223,0.00025772
1682569341,16,0.000281616,0.00023045,0.0002591
1682569376,17,0.000282255,0.00023073,0.00026025
1682569411,18,0.000282847,0.000231118,0.00026121
1682569446,19,0.000283408,0.000231693,0.00026201
1682569481,20,0.000283948,0.000232478,0.00026266
1682569516,21,0.000284471,0.000233447,0.0002632
1682569551,22,0.000284974,0.000234563,0.00026365
1682569585,23,0.000285456,0.000235797,0.00026402
1682569620,24,0.000285915,0.00023712,0.00026433
1682569655,25,0.00028635,0.000238509,0.00026459